scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
links,biomass EOP,-36964.4643779797,-29005.970547347995,-52785.3047108247,-44413.051555793165,-159758.35964473983,-152680.83750275258,-103975.79257349661,-36964.4643779797,-40974.1077897901,-54423.407515389765,-70144.10550363125,-96453.88949132526,-88246.20723765869,-65844.0969924436
links,central biomass CHP electric,-103197.4486477432,-101082.35502924527,-154240.31080581184,-273237.1220932638,-5714841.878287118,-75773302.52390562,-76958559.26346773,-103197.4486477432,-88494.43608954076,-140298.17778964966,-45453540.91602696,-109138601.61645986,-106699297.63143468,-104793396.38012215
links,central biomass CHP heat,49348.87516008058,53585.93263380776,69938.14426677112,162539.62363691456,3711074.869128421,52394393.07498497,54980180.14209082,49348.87516008058,37780.407902877865,62397.36211832441,26914764.322056986,76546620.83226937,76200571.40862879,75452078.09510088
links,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,central gas CHP electric,-178002639.56431243,-485405077.53914255,-569425452.0335819,-325125003.64415413,-191518215.01347676,-103101417.60241784,-53297470.82116724,-178002639.56431243,-577221378.8272737,-614996109.0350963,-156420182.6197147,-48149446.11733522,-65688718.80477015,-69426017.27920367
links,central gas CHP heat,138669490.71950644,382595214.2901405,388806484.34692806,243142867.9312366,145474560.36877158,77334599.78246301,39466799.88648054,138669490.71950644,409722099.1347177,437529333.05069387,118101226.80912684,33558090.17737261,48793606.23712084,52038295.39462412
links,central gas boiler,-1659.4893483790147,-615.3146962336732,-608.7452873452394,-117.96104604571633,-259.1451836326719,-151.12461533932265,-10.149096696064873,-1659.4893483790147,-1447.2867417919588,-674.5034844402744,-221.62166705725667,-8.648298957912928,-53.47712908586095,-68.43175638087905
links,central heat pump,140272217.9177004,99804367.35557482,272223421.2274968,670268940.639861,1031222545.1114602,1303291535.569546,1560240090.609913,140272217.9177004,89498693.45681168,198916833.38760984,833642804.7871327,1122047300.3863106,1304865629.5558484,1487996045.2022142
links,central resistive heater,-19969.327013527334,-67076.54981617509,-775431.3202643757,-1932800.7480217628,-2465801.7605289593,-2584049.795472635,-2571460.992269029,-19969.327013527334,-19591.01450999289,-463790.16209497827,-2579439.9719609204,-2653869.8009712407,-2577648.8854143377,-2597392.6510365456
links,central water tanks charger,-3433817.720877726,-6558165.814673718,-12346830.301139457,-34389967.41694762,-61628721.7782883,-82750499.76775226,-95550674.19533479,-3433817.720877726,-8769654.383464018,-10779287.04628951,-54109565.69664332,-76421690.98489468,-81060825.26129809,-85436603.02232139
links,central water tanks discharger,-3040316.997371863,-5769549.491272215,-10816905.056600738,-29524288.65179203,-50657973.02932062,-66596273.31898801,-75849084.62084225,-3040316.997371863,-7740035.864746467,-9464184.776060825,-44459613.09869055,-61283676.44024568,-65390515.06292239,-69205332.50084238
links,coal,-917124309.0992143,-342394694.8146417,-16672863.271495558,-6777782.912254505,-250165.27235197905,-38176.68145678935,-3153.57410241504,-917124309.0992143,-673497231.2975712,-47099289.338284835,-162018.36588102794,-1774.4062240704059,-13272.004017467134,-21749.715155985403
