scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
links,central CHP electric,-174772477.52134737,-189005784.59051916,-312674811.2568896,-263590344.01213324,-127522585.3806989,-79567840.85243069,-44258343.947879404,-174772477.52134737,-183991340.8455257,-286847023.6914263,-105387474.80775428,-31102110.511442,-41955687.37840276,-49244580.778742395
links,central CHP heat,135314148.86465892,148791203.35331833,248132512.84799233,197929672.22423983,100398816.13269493,62458260.470196426,34513120.07116746,135314148.86465892,143773346.39921784,227161873.23165745,82561209.7419982,24234957.12329226,32660484.118862648,38313360.09660773
links,central gas boiler,-36044635.03227743,-55579411.219429255,-56697461.975277945,-44256629.33927539,-25232359.2844109,-12153153.11653272,-5514206.803577374,-36044635.03227743,-61624225.23375326,-63236572.34145523,-23500165.494420655,-3847541.7429862563,-7643894.606611061,-9028027.880708365
links,central heat pump,199990883.78493372,251024508.0966232,263499532.1956019,516069828.50058323,967092463.1375278,1323106078.272563,1638211764.8266785,199990883.78493372,239195311.4737247,277744601.27909225,795635889.6894916,1249154384.9557307,1408078653.7213252,1595924903.399369
links,central resistive heater,-676880.421992198,-6288301.806554829,-23709534.73132763,-43766056.284100436,-47539248.14548943,-52964426.26361036,-58125915.57999825,-676880.421992198,-2713591.6439369535,-17937583.477232084,-42371566.83935797,-46829233.85560154,-52065288.0207965,-57705223.15266221
links,central water tanks charger,-6518764.837233562,-7429854.220877448,-14999571.618478598,-32253356.045077674,-54599084.5396415,-78309372.65362255,-100428658.60956202,-6518764.837233562,-6442962.1428523185,-12712459.563641733,-46152230.77106042,-78222622.16489322,-82861481.97479048,-94766693.94538604
links,central water tanks discharger,-5763031.336905574,-6548020.965080837,-13056717.001423532,-27495138.729479678,-45655276.274471745,-63175453.661637865,-78034702.02619655,-5763031.336905574,-5690794.320042548,-11115136.308032593,-38568742.265505604,-60639123.33396067,-64984970.96400777,-74896148.00703028
links,coal,-320259682.9730429,-70868858.16581596,-1297609.2769518092,-1119683.9985522293,-70381.5247274066,-35527.36743439314,-7293.359540937074,-320259682.9730429,-198676939.88802797,-3376639.061136165,-45992.061425872795,-22614.998849720138,-45192.1654976622,-27419.13998438193
links,cooling pump,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204
links,gas boiler,-161405776.17292893,-127011415.06899808,-93734061.3038151,-61003456.58060322,-30303340.684568513,-14489436.260143576,-6036957.680447042,-161405776.17292893,-134510274.8343649,-97874116.15641585,-38189731.281213716,-12920551.679693602,-6253196.699693268,-2264923.451409216
links,ground heat pump,895612441.566735,838185362.052071,816727090.7513354,819432473.7052072,816578891.1156105,718885464.4863106,577109904.31297,895612441.566735,826769558.5475141,792563984.3618383,971368722.1085522,935339015.0765541,791595604.3068993,619565636.8224168
links,lignite,-1488254457.4492455,-1152919477.0326428,-405269805.6737913,-11270993.493138094,-1022896.7500993244,-217750.8757707241,-43775.15689507183,-1488254457.4492455,-1357067578.0308821,-582846681.2744159,-1188251.6336974052,-42972.59872211688,-205913.76765319056,-365630.4350259191
