scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
links,battery charger,-70690.45378623615,-15614.315598284566,-74039.78023630846,-10231236.556725109,-18322358.85877437,-26224235.45834583,-33505822.14093239,-70690.45378623615,-78109.787854923,-74680.59394665711,-14121583.897062186,-26251884.417610068,-28250797.71315039,-28836859.144454554
links,battery discharger,-67156.45341263528,-14912.039172468516,-71078.76069172827,-9821989.025447546,-17589466.480465595,-25175271.824577488,-32165589.643141136,-67156.45341263528,-74596.76079892616,-71695.3418417334,-13556721.245465387,-25201809.445307106,-27120766.181330986,-27683385.16465344
links,biomass EOP,-30941.74195467391,-15272.15014869734,-40451.144948171845,-50859.29402784759,-95869.12198407511,-228380.79069925574,-159689.73218569462,-30941.74195467391,-40417.296803612924,-96668.51196014268,-105907.94079549753,-140370.65959457256,-128036.88893050754,-98022.33509897505
links,central biomass CHP electric,-66040.33924169236,-69967.07235346617,-102185.57966199156,-226624.7456671743,-33387534.896541357,-76260003.59484977,-71153895.27163129,-66040.33924169236,-96743.8846314796,-199787.20424915993,-60370814.43303547,-128113444.68991964,-125299395.14191364,-120861632.88529073
links,central biomass CHP heat,27057.576947941583,37707.15817740355,42570.75817944429,111229.45084706273,21566118.10864146,49231003.95574923,48019860.334567875,27057.576947941583,42749.22894679526,77021.30499627609,36416741.87908963,81224099.20875014,79327402.67813954,77688096.26707438
links,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,central gas CHP electric,-119375392.14550896,-375190440.47776973,-314247275.0329289,-229696904.54855478,-116391191.07964918,-63712116.51163762,-43061734.13025745,-119375392.14550896,-362704342.13332945,-352914523.7558621,-103122296.87122963,-43073283.6301828,-44386416.21745831,-44209070.47315241
links,central gas CHP heat,91691221.96989504,206130963.04885533,210363189.9691239,155996689.99865425,75550313.96752644,37030172.982161224,22844045.6982835,91691221.96989504,201703539.74651435,213975659.33755258,66854668.38638785,17895528.414331518,18973377.2822532,19946287.194291905
links,central gas boiler,-1456.8289025412287,-287.3019101092482,-859.1102902544153,-625.9970523731818,-297.126414035185,-183.37933683445544,-3.7049423443251897,-1456.8289025412287,-1465.3073627994345,-1012.5020464429435,-356.20049248225405,-8.003667258842626,-5.989385538815114,-5.517320261477238
links,central heat pump,115879321.3043055,67097175.10046827,64170742.26283929,116988587.6694453,169205451.09888166,176979195.4535475,198509676.69511908,115879321.3043055,68956123.10234529,64149147.38263321,161694463.82243407,155393445.78171745,158989484.50450274,160638141.44877583
links,central resistive heater,-12186.94814343545,-13093.233322935934,-124262.14483728801,-655937.4114343276,-1423990.8430112032,-1632380.2476082821,-1519665.3503567264,-12186.94814343545,-15459.88728516068,-86225.38258837961,-1388911.54218613,-1689292.2623795986,-1650450.594818075,-1638829.822890772
links,central water tanks charger,-2348985.5302961813,-3391322.3712259126,-6017275.393397351,-10402878.53855475,-20270777.583505586,-24259413.823217347,-22383039.448677693,-2348985.5302961813,-4278571.649140313,-5876378.01475301,-18443365.39842865,-21131393.68890435,-21047335.075208694,-20929509.946741153
