scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
links,biomass EOP,-45164.89631840084,-34431.0654812612,-70292.73512160948,-69064.52159195556,-183382.41465308415,-177688.06469642278,-132752.85241609605,-45164.89631840084,-31845.66687256821,-38510.29653880026,-109449.7811842405,-152356.25567619575,-145071.73946391954,-110655.46946687587
links,central biomass CHP electric,-96081.39465732392,-77732.38937921311,-163547.25039091991,-343035.333965016,-64752720.822620615,-71903765.9093045,-67811312.82767567,-96081.39465732392,-67527.98350341832,-97949.36658683105,-96687457.73136343,-96919023.30947283,-94710396.08490148,-90866358.45953342
links,central biomass CHP heat,40067.24912206214,27516.40438465984,66022.19827697185,148062.65118753433,41507780.49904344,47699934.52191714,46237048.10306136,40067.24912206214,22911.814072886627,39521.532918051445,56385581.26047543,64481210.05371654,63089644.68603435,60919708.888185725
links,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,central gas CHP electric,-109793806.83402847,-261091961.81266266,-299161359.71779156,-129584716.60260978,-63544320.054689065,-35856187.461238556,-23740609.688893843,-109793806.83402847,-368322800.10437053,-353258548.28765786,-58218772.57802405,-27858375.280614503,-28923783.10292735,-28874189.647755362
links,central gas CHP heat,83947299.29835412,175892949.10441023,180691231.8992065,90777048.99038066,41753816.286923066,19709438.498508573,12655576.481352016,83947299.29835412,193986546.53271404,195554845.9745467,36919255.1823948,12964048.025636239,13448777.520151142,13585722.308476377
links,central gas boiler,-2125.9644632325508,-1462.267808158378,-853.7671020382604,-424.0701078942993,-238.39801807842423,-39.05199478579482,-32.693310872771235,-2125.9644632325508,-1612.6360550786976,-944.6663626390873,-310.5716932015621,-8.681143272643027,-5.389996008221317,-9.169809252608928
links,central heat pump,118507174.52197498,82951041.44568816,78007494.56662688,177605117.80326122,179916280.32473618,201380728.52802384,218993849.0395087,118507174.52197498,71961599.92556922,69281366.37186074,163161180.6729002,183640203.38837504,190409838.9677902,192778399.75172716
links,central resistive heater,-14791.680345176936,-56162.82046063993,-321197.7665821946,-1052148.769141038,-1603283.2456551762,-1585138.5663022727,-1485922.5686116754,-14791.680345176936,-16968.872559268246,-190166.91708124368,-1634530.2660523397,-1656168.0953678074,-1569964.4007786103,-1570824.443133504
links,central water tanks charger,-2485463.313587969,-4839517.459291586,-6626725.003703903,-14589540.83147638,-22210517.686247993,-23495885.28363314,-23822389.27285178,-2485463.313587969,-5255939.301127359,-6367369.172112702,-20763709.99263355,-22678869.23713766,-22337049.930751316,-22336065.871005636
links,central water tanks discharger,-2199777.6646231795,-4281370.408218355,-5810292.013993012,-12500342.530989302,-18086573.887670055,-18795823.28852011,-18837110.384595215,-2199777.6646231795,-4659050.678197342,-5604197.920979941,-17046515.208109524,-18256275.349219285,-17907166.142448347,-17867221.80885669
links,coal,-917583765.7875088,-447241537.7025381,-10560865.606237916,-3386993.5209269933,-2371919.7981390753,-10072.298627868737,-9990.264066797554,-917583765.7875088,-671661022.2910148,-45760024.88885503,-1739024.3149188613,-70556.70481673809,-23771.677876126458,-47930.38839458779
