scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
links,biomass EOP,-43664.3419279819,-35409.43573815979,-79409.06485300256,-62363.548685863316,-106358.48629279764,-143913.6601237422,-103030.51912900616,-43664.3419279819,-30210.440000462164,-39640.8608321949,-92498.59222646177,-134793.82984170597,-127515.22224877402,-99857.14066780003
links,central biomass CHP electric,-99207.5998421891,-84576.1377933041,-179857.19608319367,-332162.78967928234,-64549303.48755395,-71804712.0808758,-67669535.1462658,-99207.5998421891,-66967.3800668149,-101655.45826279823,-96657213.21707743,-96936629.46643643,-94724424.21876816,-90894916.71764602
links,central biomass CHP heat,44399.27475433216,30705.437490392917,71885.66736400903,148080.50514028847,41422069.71075271,47658895.74673985,46159633.00885561,44399.27475433216,23503.86796236159,40595.42122169788,56393392.756265394,64499840.79690503,63104350.47958897,60940868.369672105
links,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,central gas CHP electric,-109951421.36434881,-261108920.96085033,-299146506.0519587,-129576025.8114177,-63549974.77180481,-35839491.97772566,-23727939.231442235,-109951421.36434881,-368621137.5579387,-353342568.4924794,-58304316.41380106,-27901712.66837933,-28941893.42879658,-28907631.629128378
links,central gas CHP heat,83970037.05494551,175942183.9718813,180658698.20367953,90758367.10986304,41749128.817222394,19697716.526136685,12651889.068561552,83970037.05494551,193955399.34065655,195534250.19014472,36918669.34279298,12958654.686247159,13428694.092471963,13568708.015874922
links,central gas boiler,-2289.4239794463683,-1469.1519626361078,-847.654741864877,-480.20679240343816,-208.16932661243482,-30.35206574131786,-31.15189935115791,-2289.4239794463683,-1635.5992542944168,-967.5277891361275,-285.579317459149,-8.377662770108543,-9.956966118699881,-8.946242939600893
links,central heat pump,118482346.62575567,82904966.48078573,78034364.13833931,177667368.87339398,180091764.9413529,201476027.0012526,219070865.27188316,118482346.62575567,71933752.03479603,69284718.31439249,163158655.37761247,183516045.90302342,190356376.63012317,192666255.6030487
links,central resistive heater,-15233.405617011918,-56105.863448481876,-321262.99090357864,-1052891.2873490541,-1602714.6775341553,-1585896.112200489,-1487393.0643761414,-15233.405617011918,-16968.421501855955,-190772.28204173356,-1632991.4737050133,-1657705.9752458304,-1571776.092636873,-1572362.3300376486
links,central water tanks charger,-2534347.7903672387,-4839358.780130438,-6626235.0268195495,-14634767.017811008,-22136453.72092567,-23500297.95616197,-23837983.08005228,-2534347.7903672387,-5248132.977483584,-6378870.0764629925,-20715772.46687356,-22677690.579561736,-22381056.59017984,-22338861.915157244
links,central water tanks discharger,-2244180.5566950543,-4281081.747553035,-5809662.342371582,-12540663.848332172,-18019728.660738785,-18800305.16400989,-18850351.481631868,-2244180.5566950543,-4651852.724237813,-5614634.954354316,-17003238.328921143,-18253583.82573547,-17944971.13948266,-17868480.66192517
links,coal,-917502572.9112089,-447345092.34184754,-10578376.130819019,-3402061.072526254,-2366687.299657414,-7948.878939849273,-9549.547381102775,-917502572.9112089,-671659684.5622399,-45537747.462650456,-1737100.856843725,-65445.259818403516,-24810.186705287557,-51459.17439037097
